GENESIS-Tabelle: 31231-0003;;;;;;;;;;;;;;;;
Wohngebäude, Wohnungen, Wohnfläche: Bundesländer, Stichtag,;;;;;;;;;;;;;;;;
Anzahl der Wohnungen;;;;;;;;;;;;;;;;
Fortschreibung Wohngebäude- und Wohnungsbestand;;;;;;;;;;;;;;;;
;;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden;Anzahl der Wohnungen in Wohngebäuden
;;1 Wohnung;1 Wohnung;1 Wohnung;2 Wohnungen;2 Wohnungen;2 Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;3 und mehr Wohnungen;Wohnheime;Wohnheime;Wohnheime;Insgesamt;Insgesamt;Insgesamt
;;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche;Wohngebäude;Wohnungen;Wohnfläche
Stichtag;Bundesland;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;1000 qm
31.12.1999;Hamburg;122964;122964;13169;25687;51374;4240;75576;668598;42268;-;-;-;224227;842936;59676
31.12.1999;Hessen;727177;727177;91410;310318;620636;57091;203721;1307864;90624;-;-;-;1241216;2655677;239126
31.12.1999;Mecklenburg-Vorpommern;221107;221107;22371;42703;85406;6470;66381;519253;29835;-;-;-;330191;825766;58675
31.12.1999;Niedersachsen;1302227;1302227;158847;349957;699914;63733;234454;1436679;97719;-;-;-;1886638;3438820;320299
31.12.1999;Nordrhein-Westfalen;1922779;1922779;230224;706230;1412460;121144;757545;4607322;309175;-;-;-;3386554;7942561;660542
31.12.1999;Rheinland-Pfalz;709152;709152;86231;211629;423258;38411;111852;631264;45167;-;-;-;1032633;1763674;169808
31.12.1999;Saarland;179168;179168;22090;78943;157886;14011;27508;145656;10305;-;-;-;285619;482710;46406
31.12.1999;Sachsen;375233;375233;36887;153168;306336;22021;213875;1603630;96124;-;-;-;742276;2285199;155033
31.12.1999;Sachsen-Anhalt;344473;344473;34796;85504;171008;13022;106419;770831;45476;-;-;-;536396;1286312;93293
31.12.1999;Schleswig-Holstein;506539;506539;56368;89632;179264;15423;83257;589926;37115;-;-;-;679428;1275729;108905
31.12.1999;Thüringen;290988;290988;30453;111075;222150;16905;88732;622101;37420;-;-;-;490795;1135239;84778
31.12.1999;Insgesamt;10240332;10240332;1210094;3372869;6745738;589817;2969852;20254220;1336752;-;-;-;16583053;37240290;3136656
31.12.2000;Baden-Württemberg;1239616;1239616;151572;539156;1078312;98173;386207;2275678;164157;-;-;-;2164979;4593606;413901
31.12.2000;Bayern;1764703;1764703;222580;565471;1130942;103657;357694;2557711;171388;-;-;-;2687868;5453356;497622
31.12.2000;Berlin;133595;133595;14496;20714;41428;3633;141603;1672072;109837;-;-;-;295912;1847095;127965
31.12.2000;Brandenburg;383845;383845;39032;76176;152352;11764;90143;679205;40281;-;-;-;550164;1215402;91076
31.12.2000;Bremen;74874;74874;7958;20379;40758;3263;33402;227266;14712;-;-;-;128655;342898;25934
31.12.2000;Hamburg;124187;124187;13332;25835;51670;4274;76039;672911;42600;-;-;-;226061;848768;60206
31.12.2000;Hessen;734292;734292;92528;312942;625884;57734;205575;1319599;91610;-;-;-;1252809;2679775;241872
31.12.2000;Mecklenburg-Vorpommern;226567;226567;23006;43272;86544;6571;66871;523071;30083;-;-;-;336710;836182;59659
31.12.2000;Niedersachsen;1326265;1326265;162331;354909;709818;64846;236201;1447552;98568;-;-;-;1917375;3483635;325745
31.12.2000;Nordrhein-Westfalen;1951971;1951971;234239;712820;1425640;122624;762338;4642535;311918;-;-;-;3427129;8020146;668782
31.12.2000;Rheinland-Pfalz;718033;718033;87625;214540;429080;39070;113075;638574;45754;-;-;-;1045648;1785687;172447
31.12.2000;Saarland;180335;180335;22287;79552;159104;14156;27784;147151;10426;-;-;-;287671;486590;46868
31.12.2000;Sachsen;383274;383274;37902;154589;309178;22288;214510;1611999;96722;-;-;-;752373;2304451;156911
31.12.2000;Sachsen-Anhalt;350945;350945;35619;86145;172290;13142;106764;774272;45718;-;-;-;543854;1297507;94477
31.12.2000;Schleswig-Holstein;514137;514137;57366;90592;181184;15621;83826;594589;37495;-;-;-;688555;1289910;110481
31.12.2000;Thüringen;295605;295605;31067;111765;223530;17043;89126;625383;37674;-;-;-;496496;1144518;85783
31.12.2000;Insgesamt;10402244;10402244;1232938;3408857;6817714;597858;2991158;20409568;1348941;-;-;-;16802259;37629526;3179728
31.12.2001;Baden-Württemberg;1254096;1254096;153839;542694;1085388;99063;388977;2292499;165607;-;-;-;2185767;4631983;418509
31.12.2001;Bayern;1785285;1785285;225748;571605;1143210;105053;360800;2578730;173060;-;-;-;2717690;5507225;503860
31.12.2001;Berlin;135849;135849;14789;20877;41754;3668;141863;1676258;110252;-;-;-;298589;1853861;128709
31.12.2001;Brandenburg;393359;393359;40209;77339;154678;11984;90583;682127;40499;-;-;-;561281;1230164;92690
31.12.2001;Bremen;75629;75629;8059;20437;40874;3276;33484;228162;14779;-;-;-;129550;344665;26114
31.12.2001;Hamburg;125002;125002;13451;25971;51942;4307;76324;676278;42883;-;-;-;227297;853222;60641
31.12.2001;Hessen;740362;740362;93501;315325;630650;58330;207172;1329569;92488;-;-;-;1262859;2700581;244319
31.12.2001;Mecklenburg-Vorpommern;231415;231415;23571;43760;87520;6661;67224;525551;30268;-;-;-;342399;844486;60499
31.12.2001;Niedersachsen;1345991;1345991;165203;358763;717526;65728;237396;1455067;99167;-;-;-;1942150;3518584;330098
31.12.2001;Nordrhein-Westfalen;1977172;1977172;237748;718353;1436706;123891;766026;4668633;314096;-;-;-;3461551;8082511;675734
31.12.2001;Rheinland-Pfalz;725105;725105;88754;216731;433462;39575;113936;643949;46196;-;-;-;1055772;1802516;174523
31.12.2001;Saarland;181285;181285;22447;80001;160002;14264;27964;148108;10504;-;-;-;289250;489395;47215
31.12.2001;Sachsen;388602;388602;38594;155481;310962;22465;214489;1610833;96778;-;-;-;758572;2310397;157837
31.12.2001;Sachsen-Anhalt;355219;355219;36163;86511;173022;13212;106812;773905;45734;-;-;-;548542;1302146;95107
31.12.2001;Schleswig-Holstein;520562;520562;58226;91276;182552;15765;84194;597219;37726;-;-;-;696032;1300333;111716
31.12.2001;Thüringen;298806;298806;31505;112316;224632;17154;89239;625646;37736;-;-;-;500361;1149084;86395
31.12.2001;Insgesamt;10533739;10533739;1251807;3437440;6874880;604397;3006483;20512534;1357772;-;-;-;16977662;37921153;3213967
31.12.2002;Baden-Württemberg;1267134;1267134;155936;546029;1092058;99910;391244;2305860;166778;-;-;-;2204407;4665052;422623
31.12.2002;Bayern;1806603;1806603;229048;577453;1154906;106402;363759;2598142;174611;-;-;-;2747815;5559651;510060
31.12.2002;Berlin;137973;137973;15065;21041;42082;3705;141991;1677870;110479;-;-;-;301005;1857925;129249
31.12.2002;Brandenburg;402044;402044;41299;78350;156700;12179;90629;680579;40479;-;-;-;571023;1239323;93957
31.12.2002;Bremen;76284;76284;8148;20480;40960;3284;33549;228818;14823;-;-;-;130313;346062;26256
31.12.2002;Hamburg;126028;126028;13599;26067;52134;4331;76523;677928;43050;-;-;-;228618;856090;60979
31.12.2002;Hessen;745709;745709;94348;317649;635298;58886;208548;1337735;93255;-;-;-;1271906;2718742;246489
31.12.2002;Mecklenburg-Vorpommern;235793;235793;24083;44216;88432;6743;67503;527272;30396;-;-;-;347512;851497;61221
31.12.2002;Niedersachsen;1364819;1364819;167958;362142;724284;66523;238395;1461616;99697;-;-;-;1965356;3550719;334178
31.12.2002;Nordrhein-Westfalen;1999900;1999900;240910;722904;1445808;124948;768660;4687492;315709;-;-;-;3491464;8133200;681567
31.12.2002;Rheinland-Pfalz;732272;732272;89916;219128;438256;40124;114773;648494;46607;-;-;-;1066173;1819022;176645
31.12.2002;Saarland;182276;182276;22614;80402;160804;14363;28117;148738;10565;-;-;-;290795;491818;47542
31.12.2002;Sachsen;393219;393219;39201;156225;312450;22621;213933;1602870;96413;-;-;-;763377;2308539;158234
31.12.2002;Sachsen-Anhalt;359361;359361;36707;86844;173688;13279;106348;767502;45404;-;-;-;552553;1300551;95390
31.12.2002;Schleswig-Holstein;526574;526574;58601;91884;183768;15817;84536;600358;37813;-;-;-;702994;1310700;112230
31.12.2002;Thüringen;301830;301830;31918;112832;225664;17264;89106;621526;37560;-;-;-;503768;1149020;86742
31.12.2002;Insgesamt;10657819;10657819;1269352;3463646;6927292;610378;3017614;20572800;1363639;-;-;-;17139079;38157911;3243361
31.12.2003;Baden-Württemberg;1280433;1280433;158066;549026;1098052;100665;393330;2317751;167873;-;-;-;2222789;4696236;426603
31.12.2003;Bayern;1827308;1827308;232244;582787;1165574;107633;366561;2615701;176020;-;-;-;2776656;5608583;515898
31.12.2003;Berlin;139622;139622;15279;21170;42340;3731;142077;1677637;110591;-;-;-;302869;1859599;129600
31.12.2003;Brandenburg;410179;410179;42304;79215;158430;12342;90240;675031;40221;-;-;-;579634;1243640;94866
31.12.2003;Bremen;76837;76837;8224;20515;41030;3292;33569;228856;14834;-;-;-;130921;346723;26350
31.12.2003;Hamburg;127044;127044;13739;26166;52332;4354;76778;680176;43256;-;-;-;229988;859552;61349
31.12.2003;Hessen;750042;750042;95038;319429;638858;59309;209898;1346835;94070;-;-;-;1279369;2735735;248416
31.12.2003;Mecklenburg-Vorpommern;239805;239805;24554;44625;89250;6813;67665;527506;30402;-;-;-;352095;856561;61768
31.12.2003;Niedersachsen;1384594;1384594;170874;365473;730946;67297;239392;1467746;100216;-;-;-;1989459;3583286;338386
31.12.2003;Nordrhein-Westfalen;2023535;2023535;244220;727235;1454470;125945;771080;4704763;317156;-;-;-;3521850;8182768;687321
31.12.2003;Rheinland-Pfalz;739234;739234;91037;221276;442552;40620;115437;651899;46927;-;-;-;1075947;1833685;178583
31.12.2003;Saarland;183218;183218;22771;80797;161594;14449;28289;149694;10641;-;-;-;292304;494506;47861
31.12.2003;Sachsen;397078;397078;39726;156745;313490;22733;213018;1589679;95727;-;-;-;766841;2300247;158186
