GENESIS-Tabelle: 44151-0001;;;;;;;
Besch‰ftigte, Umsatz im Bauhauptgewerbe (Messzahlen und;;;;;;;
Ver‰nderungsraten): Deutschland, Monate, Wirtschaftszweige;;;;;;;
Konjunkturstatistik im Bauhauptgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Besch‰ftigte;Ver‰nderung zum Vorjahresmon.;Umsatz;Ver‰nderung zum Vorjahres
Key Wirtschaftszweig;Wirtschaftszweig;Jahr;Monat;2010=100;in (%);2010=100;in (%)
WZ08-412;Bau von Geb‰uden;2011;November;103,3;0,3;140,4;11,4
WZ08-412;Bau von Geb‰uden;2011;Dezember;99,5;1,2;148,7;26,9
WZ08-412;Bau von Geb‰uden;2012;Januar;96,6;1,2;68,5;23,6
WZ08-412;Bau von Geb‰uden;2012;Februar;96,1;-0,2;71,3;-5,8
WZ08-412;Bau von Geb‰uden;2012;M‰rz;98,9;-0,3;102,8;1,8
WZ08-412;Bau von Geb‰uden;2012;April;100,8;-0,2;108;3,7
WZ08-412;Bau von Geb‰uden;2012;Mai;101,4;-0,7;120,6;-4,1
WZ08-412;Bau von Geb‰uden;2012;Juni;102,2;-0,6;125,6;6,9
WZ08-412;Bau von Geb‰uden;2012;Juli;102,8;-;137,3;9,7
WZ08-412;Bau von Geb‰uden;2012;August;103,6;-0,4;130,6;2,5
WZ08-412;Bau von Geb‰uden;2012;September;104;-0,4;127,2;-1,3
WZ08-412;Bau von Geb‰uden;2012;Oktober;103,6;-0,4;137,8;6,3
WZ08-412;Bau von Geb‰uden;2012;November;102,8;-0,5;140,2;-0,1
WZ08-412;Bau von Geb‰uden;2012;Dezember;98,5;-1;140,9;-5,2
WZ08-412;Bau von Geb‰uden;2013;Januar;96;-0,6;63,7;-7
WZ08-412;Bau von Geb‰uden;2013;Februar;96;-0,1;74,9;5
WZ08-412;Bau von Geb‰uden;2013;M‰rz;97,6;-1,3;89,6;-12,8
WZ08-412;Bau von Geb‰uden;2013;April;100,8;-;114,2;5,7
WZ08-412;Bau von Geb‰uden;2013;Mai;102,2;0,8;118,9;-1,4
WZ08-412;Bau von Geb‰uden;2013;Juni;103,1;0,9;128,7;2,5
WZ08-412;Bau von Geb‰uden;2013;Juli;103,9;1,1;148,5;8,2
WZ08-412;Bau von Geb‰uden;2013;August;104,8;1,2;132,2;1,2
WZ08-412;Bau von Geb‰uden;2013;September;105,3;1,3;137,4;8
WZ08-412;Bau von Geb‰uden;2013;Oktober;104,9;1,3;145,8;5,8
WZ08-412;Bau von Geb‰uden;2013;November;104;1,2;146,1;4,2
WZ08-412;Bau von Geb‰uden;2013;Dezember;99,6;1,1;154,3;9,5
WZ08-412;Bau von Geb‰uden;2014;Januar;97,2;1,3;76,7;20,4
WZ08-412;Bau von Geb‰uden;2014;Februar;97,8;1,9;94,3;25,9
WZ08-412;Bau von Geb‰uden;2014;M‰rz;100,2;2,7;113,7;26,9
WZ08-412;Bau von Geb‰uden;2014;April;101,6;0,8;124,4;8,9
WZ08-412;Bau von Geb‰uden;2014;Mai;102,2;-;126,1;6,1
WZ08-412;Bau von Geb‰uden;2014;Juni;102,9;-0,2;130,5;1,4
WZ08-412;Bau von Geb‰uden;2014;Juli;103,2;-0,7;150,2;1,1
WZ08-412;Bau von Geb‰uden;2014;August;103,9;-0,9;132;-0,2
WZ08-412;Bau von Geb‰uden;2014;September;104,5;-0,8;142,4;3,6
WZ08-412;Bau von Geb‰uden;2014;Oktober;104;-0,9;148,9;2,1
WZ08-412;Bau von Geb‰uden;2014;November;103,1;-0,9;144,1;-1,4
WZ08-412;Bau von Geb‰uden;2014;Dezember;99;-0,6;150,8;-2,3
WZ08-412;Bau von Geb‰uden;2015;Januar;96,4;-0,8;73,3;-4,4
WZ08-412;Bau von Geb‰uden;2015;Februar;96,6;-1,2;84,1;-10,8
WZ08-412;Bau von Geb‰uden;2015;M‰rz;98,8;-1,4;112,6;-1
WZ08-412;Bau von Geb‰uden;2015;April;100,5;-1,1;117,2;-5,8
WZ08-412;Bau von Geb‰uden;2015;Mai;100,9;-1,3;117,1;-7,1
WZ08-412;Bau von Geb‰uden;2015;Juni;101,9;-1;134,5;3,1
WZ08-412;Bau von Geb‰uden;2015;Juli;102,2;-1;147,1;-2,1
WZ08-412;Bau von Geb‰uden;2015;August;103;-0,9;128;-3
WZ08-412;Bau von Geb‰uden;2015;September;103,7;-0,8;137,9;-3,2
WZ08-412;Bau von Geb‰uden;2015;Oktober;103,2;-0,8;145,7;-2,1
WZ08-412;Bau von Geb‰uden;2015;November;102,6;-0,5;147,6;2,4
WZ08-412;Bau von Geb‰uden;2015;Dezember;99,3;0,3;154,1;2,2
